task,model,MAE,MAE_sd,R2,R2_sd,source_workbook,source_sheet
CH,Simple,23.2,2.8,-0.07,0.08,2136_3_source_data_24011_tgxpg5.xlsx,5hi
TG,Simple,54.5,11.2,-0.01,0.07,2136_3_source_data_24011_tgxpg5.xlsx,5hi
CH,Multi,23.0,3.6,-0.02,0.04,2136_3_source_data_24011_tgxpg5.xlsx,5hi
TG,Multi,54.5,10.5,-0.01,0.07,2136_3_source_data_24011_tgxpg5.xlsx,5hi
CH,Ridge,23.0,3.6,-0.03,0.04,2136_3_source_data_24011_tgxpg5.xlsx,5hi
TG,Ridge,46.4,8.0,0.2,0.13,2136_3_source_data_24011_tgxpg5.xlsx,5hi
CH,Lasso,23.0,3.6,-0.03,0.04,2136_3_source_data_24011_tgxpg5.xlsx,5hi
TG,Lasso,46.4,8.0,0.2,0.13,2136_3_source_data_24011_tgxpg5.xlsx,5hi
CH,Causal ML,15.27,3.6,0.61,0.17,2136_3_source_data_24011_tgxpg5.xlsx,5hi
TG,Causal ML,20.8,3.6,0.91,0.08,2136_3_source_data_24011_tgxpg5.xlsx,5hi
