Confounder,SweatBiomarker,BloodBiomarker,Corr_Confounder_Sweat,Corr_Confounder_Blood,ConfoundingStrength,SampleSize
BMI,SweatCH,BloodCH,-0.03464199957028721,-0.007018781658829076,0.00024314463120909664,115
BMI,SweatCH,BloodTG,-0.0422184873749079,0.49498806792912015,0.020897647496595614,114
BMI,SweatRate,BloodCH,0.04620672851150812,-0.007018781658829076,0.00032431493859106774,115
BMI,SweatRate,BloodTG,0.047925142043572615,0.49498806792912015,0.023722373465376652,114
Age,SweatCH,BloodCH,-0.06896455529467453,0.31917076854356835,0.022011470115666686,115
Age,SweatCH,BloodTG,-0.0727265556070071,0.19466102665952462,0.014157025979871007,114
Age,SweatRate,BloodCH,0.10891377681757823,0.31917076854356835,0.03476209385184912,115
Age,SweatRate,BloodTG,0.10957292546484544,0.19466102665952462,0.021329578165074383,114
Gender,SweatCH,BloodCH,-0.19341688544312508,-0.48366687467010355,0.09354934049070175,115
Gender,SweatCH,BloodTG,-0.18180224425203353,0.048257114727364436,0.008773251758562714,114
Gender,SweatRate,BloodCH,0.03317087878978892,-0.48366687467010355,0.016043655274318034,115
Gender,SweatRate,BloodTG,0.029148478700656486,0.048257114727364436,0.0014066214807857188,114
HbA1c,SweatCH,BloodCH,-0.14820270297998528,0.04630216692926287,0.006862106292747242,115
HbA1c,SweatCH,BloodTG,-0.12870075204005163,0.16324726781251878,0.02101004613595488,114
HbA1c,SweatRate,BloodCH,0.05691426711841976,0.04630216692926287,0.0026352538967737284,115
HbA1c,SweatRate,BloodTG,0.05144179329672504,0.16324726781251878,0.008397732207066706,114
Blood Pressure,SweatCH,BloodCH,0.00340165043278348,-0.025213426771417254,8.576726408894609e-05,115
Blood Pressure,SweatCH,BloodTG,0.0021054300483719472,0.42187775208202627,0.0008882340959731089,114
Blood Pressure,SweatRate,BloodCH,-0.22017457572826102,-0.025213426771417254,0.005551355542052372,115
Blood Pressure,SweatRate,BloodTG,-0.22017850840275963,0.42187775208202627,0.09288841418172976,114
Fat%,SweatCH,BloodCH,0.050603850806905666,0.4667353300405905,0.023618605007685915,115
Fat%,SweatCH,BloodTG,0.03184986788661917,0.1465586057127016,0.004667872229596656,114
Fat%,SweatRate,BloodCH,-0.006669669974940199,0.4667353300405905,0.0031129706170155307,115
Fat%,SweatRate,BloodTG,-0.0017719947286654507,0.1465586057127016,0.00025970107676346547,114
